id,text,label,source
26,โดยสรุปปัญหาหลักคือข้อมูลไม่บาลานซ์และขาดตัวอย่างคลาส,Summarize,line_export
27,สรุปประชุมย่อย: ใช้ SVM เป็นตัวหลัก และเพิ่ม predict_batch พรุ่งนี้,Summarize,line_export
28,สรุปข้อเสนอของอาจารย์ให้แก้ส่วนผลการทดลองและเพิ่มกราฟ,Summarize,line_export
29,สรุปงานกิจกรรม โปสเตอร์เสร็จแล้ว เหลือวิดีโอโปรโมต,Summarize,synth
30,โดยรวมทีมพร้อมเดโมเช้าวันศุกร์ ระบบเชื่อมต่อวิ่งครบ,Summarize,line_export
31,สรุปข้อผิดพลาดที่พบ: token หมดอายุ และเขียนชีตซ้ำซ้อน,Summarize,line_export
32,สรุปการเก็บข้อมูลรอบแรก ได้ 650 ตัวอย่าง แบ่ง 3 คลาสเท่า ๆ กัน,Summarize,form
33,สรุปขั้นตอนติดตั้งสั้น ๆ คือ clone ติดตั้ง dependencies และรัน uvicorn,Summarize,synth
34,สรุปงานของแต่ละคน โฟล์คทำโมเดล กฤษเชื่อมระบบ เสกทดสอบ,Summarize,line_export
35,โดยสรุปแบบฟอร์มรับคำสั่งใช้งานง่าย ผู้ใช้เข้าใจขั้นตอน,Summarize,form
36,สรุปค่าประสิทธิภาพ F1-macro เพิ่มขึ้นจาก 0.78 เป็น 0.83,Summarize,synth
37,สรุปผลรีวิว ผู้ใช้ต้องการปุ่มดูรายการงานล่าสุดใน LINE,Summarize,form
38,สรุปเนื้อหาที่ต้องแก้ไข เหลือรายงานผลและคู่มือใช้งาน,Summarize,line_export
39,โดยรวมเวอร์ชันนี้เสถียรขึ้นหลังเพิ่ม retry และ idempotency,Summarize,synth
40,สรุปการทดสอบภาคสนาม ผ่าน 27 จาก 30 เคส,Summarize,line_export
41,ไปกินข้าวกันไหม,Other,line_export
42,ไฟล์เพลงนี้เพราะดี ใครแนะนำบ้าง,Other,line_export
43,วันนี้อากาศดีมาก ฝนไม่ตก,Other,line_export
44,เมื่อคืนดูฟุตบอลคู่ใหญ่ สนุกมาก,Other,line_export
45,มีใครว่างบ่ายนี้ชวนคุยหน่อย,Other,line_export
46,เสาร์นี้ใครกลับบ้านบ้าง,Other,line_export
47,ขอบคุณครับ,Other,line_export
48,เดี๋ยวเจอกันหน้าตึกวิศวะ,Other,line_export
49,ฮัลโหล ได้ยินไหม,Other,line_export
50,ใครมีซีรีส์แนะนำบ้าง,Other,line_export
51,ตอนเย็นมีใครวิ่งที่สนามไหม,Other,synth
52,ขอรูปแมวหน่อย,Other,line_export
53,ลืมกระเป๋าไว้ในห้องประชุมใครเห็นบ้าง,Other,line_export
54,เพลงใหม่ออกยัง,Other,line_export
55,วันนี้รถติดมากถึงช้าเล็กน้อย,Other,line_export
56,คอมผมอัปเดตวินโดวส์นานมาก,Other,line_export
57,คืนนี้ใครว่างเล่นเกมบ้าง,Other,line_export
58,ขอแนะนำร้านกาแฟแถวนี้หน่อย,Other,line_export
59,เช้านี้ใครเข้ามหาลัยบ้าง,Other,line_export
60,อาทิตย์หน้ามีใครไปเที่ยวไหม,Other,line_export
